"","@context","@type","@type1","ratingValue","@type2","name","reviewBody","@context1","@type3","name1","sameAs","date"
"90","https://schema.org/","Review","Rating","5","Person","Current Employee - Staff Geologist","Great place poor management","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Aug 1, 2023"
"91","https://schema.org/","Review","Rating","5","Person","Current Employee - Petrophysicist","Awesome","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Aug 10, 2023"
"92","https://schema.org/","Review","Rating","5","Person","Current Employee - Controls Assurance Advisor","Great company","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jul 28, 2023"
"93","https://schema.org/","Review","Rating","5","Person","Current Employee - Senior Geophysicist","Of course I will be there in","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jul 1, 2023"
"94","https://schema.org/","Review","Rating","5","Person","Current Employee - Analyst","Good benefits","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Aug 5, 2023"
"95","https://schema.org/","Review","Rating","3","Person","Former Employee - Cashier/Gas Station Attendant","Small town gas station","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jun 26, 2023"
"96","https://schema.org/","Review","Rating","3","Person","Former Employee - Trainer","Experience","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jul 29, 2023"
"97","https://schema.org/","Review","Rating","2","Person","Former Employee - Cashier","Uhhh nah","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","May 24, 2023"
"98","https://schema.org/","Review","Rating","2","Person","Former Employee - Engineer","Big Petro that is lost","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jul 24, 2023"
"99","https://schema.org/","Review","Rating","5","Person","Former Employee - Financial Planning Analyst","Great Place to Work","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jul 6, 2023"
"100","https://schema.org/","Review","Rating","4","Person","Former Employee - Trade Settlements Leads Analyst","Overall good place to work","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jul 10, 2023"
"101","https://schema.org/","Review","Rating","5","Person","Former Employee - Human Resources","BP","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jun 19, 2023"
"102","https://schema.org/","Review","Rating","3","Person","Former Employee - Engineer","Good pay but tough environment","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jun 26, 2023"
"103","https://schema.org/","Review","Rating","2","Person","Former Employee - Technical Director","Yes","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jul 6, 2023"
"104","https://schema.org/","Review","Rating","4","Person","Current Employee - Director, Category Management","Time is running out for Houston","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jun 1, 2023"
"105","https://schema.org/","Review","Rating","4","Person","Former Employee - Geophysicist","Experience","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jun 29, 2023"
"106","https://schema.org/","Review","Rating","4","Person","Current Employee - Buniness Development Manager","Difficult to progress internally but interesting work","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","May 11, 2023"
"107","https://schema.org/","Review","Rating","5","Person","Current Employee - Head of Product","Great culture, great fun","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jun 20, 2023"
"108","https://schema.org/","Review","Rating","4","Person","Current Employee - Learning Advisor","good place to work","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jul 4, 2023"
"109","https://schema.org/","Review","Rating","4","Person","Former Employee - Capability Advisor","Paid well","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","May 17, 2023"
"110","https://schema.org/","Review","Rating","3","Person","Former Employee - Shift Manager","Work/Life","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jul 5, 2023"
"111","https://schema.org/","Review","Rating","4","Person","Former Employee - HR Analyst","Rewards","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jul 3, 2023"
"112","https://schema.org/","Review","Rating","4","Person","Former Employee - Geologist","Applied Geologist at BP","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jun 21, 2023"
"113","https://schema.org/","Review","Rating","5","Person","Current Employee - Instrumentation and Controls Engineer","Great company to work for","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jun 10, 2023"
"114","https://schema.org/","Review","Rating","5","Person","Current Employee - Risk Advisor","Great company to work with","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jun 23, 2023"
"115","https://schema.org/","Review","Rating","5","Person","Former Employee - Engineering Manager","Great place","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jun 26, 2023"
"116","https://schema.org/","Review","Rating","5","Person","Current Employee - Subsurface Manager","Review","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jun 24, 2023"
"117","https://schema.org/","Review","Rating","5","Person","Current Employee - Challenger Program","Excellent benefits and opportunities","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","May 1, 2023"
"118","https://schema.org/","Review","Rating","4","Person","Current Employee - Commercial Advisor","Not going anywhere","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jun 12, 2023"
"119","https://schema.org/","Review","Rating","4","Person","Current Employee - Data Analyst","Annoying politics but good pay","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jun 13, 2023"
"120","https://schema.org/","Review","Rating","3","Person","Current Employee - Administrative Assistant","Ok","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jun 18, 2023"
"121","https://schema.org/","Review","Rating","5","Person","Former Employee - Analyst",".","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","May 30, 2023"
"122","https://schema.org/","Review","Rating","4","Person","Current Employee - Reliability Engineer","Great company","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jun 5, 2023"
"123","https://schema.org/","Review","Rating","4","Person","Former Employee - Manager","Good","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jun 9, 2023"
"124","https://schema.org/","Review","Rating","5","Person","Former Employee - Site Supervisor","Mentoring","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","May 18, 2023"
"125","https://schema.org/","Review","Rating","5","Person","Current Employee - Mechanical Engineer","Great place and great people","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","May 16, 2023"
"126","https://schema.org/","Review","Rating","5","Person","Current Employee - Trading Analyst","Great Company with lots of options","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Mar 31, 2023"
"127","https://schema.org/","Review","Rating","2","Person","Current Employee - Anonymous Employee","Selfish leadership","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","May 4, 2023"
"128","https://schema.org/","Review","Rating","3","Person","Former Employee - Settlements Analyst","nice to work","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","May 22, 2023"
"129","https://schema.org/","Review","Rating","2","Person","Current Employee - Geoscientist","Nepotism at it's finest!","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jan 26, 2023"
"130","https://schema.org/","Review","Rating","3","Person","Former Employee - Process Engineer","Post reorganization chaos","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","May 12, 2023"
"131","https://schema.org/","Review","Rating","3","Person","Current Employee - Trading","Team culture varies heavily by trading desk","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Apr 9, 2023"
"132","https://schema.org/","Review","Rating","5","Person","Current Employee - Project Manager","Great Company","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","May 17, 2023"
"133","https://schema.org/","Review","Rating","3","Person","Former Employee - Shift Lead","Pay","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Apr 29, 2023"
"134","https://schema.org/","Review","Rating","5","Person","Current Employee - Operations","Great benefits","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Apr 17, 2023"
"135","https://schema.org/","Review","Rating","5","Person","Former Employee - Data Scientist","Great culture","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Apr 21, 2023"
"136","https://schema.org/","Review","Rating","4","Person","Former Employee - Contract Administrator","Contract Administrator","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","May 10, 2023"
"137","https://schema.org/","Review","Rating","5","Person","Former Employee - Software Engineer","Overview","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Apr 10, 2023"
"138","https://schema.org/","Review","Rating","5","Person","Current Employee - Financial Analyst","Great place to work","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Apr 5, 2023"
"139","https://schema.org/","Review","Rating","4","Person","Current Employee - Financial Analyst","Work life balance is strong","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Apr 16, 2023"
"140","https://schema.org/","Review","Rating","3","Person","Former Employee - Administrative Assistant","Good pay but frequent downsizes","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Apr 14, 2023"
"141","https://schema.org/","Review","Rating","4","Person","Current Employee - Geospatial Data Manager","Review","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Apr 30, 2023"
"142","https://schema.org/","Review","Rating","3","Person","Current Employee - Anonymous Employee","Ok","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Apr 25, 2023"
"143","https://schema.org/","Review","Rating","3","Person","Former Employee - Workforce Management Analyst","Great benefits but annual corporate compliance projects mandated for each employee can choke productivity","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Dec 18, 2022"
"144","https://schema.org/","Review","Rating","5","Person","Former Employee - Project Manager","Good.","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Apr 18, 2023"
"145","https://schema.org/","Review","Rating","4","Person","Current Employee - Administrative Assistant","OK","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Apr 21, 2023"
